OBJECTID,Academic Year,Fed ID,CDS Code,District Code,School Code,Region,County Name,District Name,School Name,School Type,Status,Open Date,Closed Date,School Level,Grade Low,Grade High,Charter,Charter Num,Funding Type,Virtual,Magnet,Title I,DASS,Assistance Status ESSA,Street,City,Zip,State,US Congress District,CA Senate District,CA Assembly District,Locale,Latitude,Longitude,Enroll Total,African American,African American (%),American Indian,American Indian Pct,Asian,Asian (%),Filipino,Filipino (%),Hispanic,Hispanic (%),Pacific Islander,Pacific Islander (%),White,White (%),Two or More Races,Two or More Races (%),Not Reported,Not Reported (%),English Learner,English Learner (%),Foster,Foster (%),Homeless,Homeless (%),Migrant,Migrant (%),Socioeconomically Disadvantaged,Socioeconomically Disadvantaged (%),Students with Disabilities,Students with Disabilities (%),Free/Reduced Meal Eligible,Free/Reduced Meal Eligible (%),x,y
8230,2022-23,060223312016,43104390113431,4310439,0113431,05,Santa Clara,Santa Clara County Office of Education,University Preparatory Academy Charter,High,Active,8/20/2007 12:00:00 AM,,High,07,12,Y,0844,Directly funded,N,N,N,N,No Status,2315 Canoas Garden Ave.,San Jose,95125,CA,16,15,28,"11 - City, Large",37.2910400003552,-121.873939999713,713,125,17.5,1,0.1,313,43.9,33,4.6,136,19.1,3,0.4,48,6.7,52,7.3,2,0.3,31,4.3,0,0,1,0.1,0,0,218,30.6,18,2.5,214,30,-13566944.941738,4479752.02475548
8238,2022-23,060222212625,43104390123794,4310439,0123794,05,Santa Clara,Santa Clara County Office of Education,Summit Public School: Tahoma,High,Active,8/22/2011 12:00:00 AM,,High,09,12,Y,1282,Directly funded,N,N,Y,N,No Status,285 Blossom Hill Rd.,San Jose,95123,CA,19,15,25,"11 - City, Large",37.2539000000998,-121.820000000477,314,10,3.2,0,0,43,13.7,5,1.6,130,41.4,0,0,83,26.4,34,10.8,9,2.9,31,9.9,1,0.3,0,0,2,0.6,79,25.2,58,18.5,73,23.2,-13560940.3684897,4474556.51055285
8249,2022-23,069103514054,43104390135087,4310439,0135087,05,Santa Clara,Santa Clara County Office of Education,Opportunity Youth Academy,High,Active,9/1/2016 12:00:00 AM,,High,09,12,Y,1840,Locally funded,C,N,Y,Y,CSI Grad,1290 Ridder Park Dr.,San Jose,95131,CA,17,10,24,"11 - City, Large",37.3837199997309,-121.9001899999,337,12,3.6,1,0.3,5,1.5,0,0,298,88.4,1,0.3,15,4.5,5,1.5,0,0,62,18.4,27,8,22,6.5,1,0.3,298,88.4,79,23.4,287,85.2,-13569867.0783922,4492728.22741782
8309,2022-23,060723008122,43694014330239,4369401,4330239,05,Santa Clara,Campbell Union High,Leigh High,High,Active,7/1/1980 12:00:00 AM,,High,09,12,N,,,N,N,N,N,No Status,5210 Leigh Ave.,San Jose,95124,CA,16,15,28,"11 - City, Large",37.2421699997814,-121.920399999506,1812,16,0.9,1,0.1,494,27.3,20,1.1,287,15.8,1,0.1,800,44.2,181,10,12,0.7,45,2.5,1,0.1,16,0.9,0,0,381,21,179,9.9,324,17.9,-13572116.8452572,4472916.13325305
8311,2022-23,060723008350,43694014330866,4369401,4330866,05,Santa Clara,Campbell Union High,Branham High,High,Active,8/16/1999 12:00:00 AM,,High,09,12,N,,,N,N,N,N,No Status,1570 Branham Ln.,San Jose,95118,CA,16,15,28,"11 - City, Large",37.2538199996889,-121.899240000534,1990,40,2,8,0.4,420,21.1,33,1.7,583,29.3,4,0.2,747,37.5,147,7.4,8,0.4,81,4.1,3,0.2,5,0.3,0,0,663,33.3,241,12.1,589,29.6,-13569761.3249465,4474545.32206181
8312,2022-23,060723000665,43694014331955,4369401,4331955,05,Santa Clara,Campbell Union High,Del Mar High,High,Active,7/1/1980 12:00:00 AM,,High,09,12,N,,,N,N,Y,N,No Status,1224 Del Mar Ave.,San Jose,95128,CA,16,15,26,"11 - City, Large",37.3047599997337,-121.929060000337,1293,60,4.6,1,0.1,71,5.5,37,2.9,897,69.4,3,0.2,183,14.2,40,3.1,1,0.1,222,17.2,2,0.2,10,0.8,0,0,940,72.7,174,13.5,892,69,-13573080.87214,4481671.96394528
8313,2022-23,060723000673,43694014336137,4369401,4336137,05,Santa Clara,Campbell Union High,Prospect High,High,Active,7/1/1980 12:00:00 AM,,High,09,12,N,,,N,N,Y,N,No Status,18900 Prospect Rd.,Saratoga,95070,CA,16,13,23,"21 - Suburban, Large",37.2916700004069,-122.001019999815,1459,58,4,10,0.7,370,25.4,51,3.5,547,37.5,12,0.8,309,21.2,90,6.2,12,0.8,175,12,2,0.1,7,0.5,0,0,715,49,169,11.6,653,44.8,-13581091.4226394,4479840.17756924
8314,2022-23,060723000676,43694014338505,4369401,4338505,05,Santa Clara,Campbell Union High,Westmont High,High,Active,7/1/1980 12:00:00 AM,,High,09,12,N,,,N,N,N,N,No Status,4805 Westmont Ave.,Campbell,95008,CA,16,15,23,"11 - City, Large",37.2709000000517,-121.98576999998,1741,32,1.8,4,0.2,364,20.9,35,2,599,34.4,6,0.3,563,32.3,85,4.9,53,3,99,5.7,4,0.2,17,1,0,0,701,40.3,183,10.5,638,36.6,-13579393.8004231,4476934.32226755
8338,2022-23,060239211449,43694270107151,4369427,0107151,05,Santa Clara,East Side Union High,"Escuela Popular/Center for Training and Careers, Family Learning",High,Active,8/24/2004 12:00:00 AM,,High,09,12,Y,0646,Directly funded,N,N,N,Y,CSI Grad,149 North White Rd.,San Jose,95127,CA,18,15,25,"11 - City, Large",37.3697299998996,-121.832029999959,528,0,0,0,0,0,0,0,0,528,100,0,0,0,0,0,0,0,0,101,19.1,0,0,73,13.8,0,0,446,84.5,0,0,80,15.2,-13562279.5419062,4490768.44946926
8339,2022-23,060204712236,43694270116889,4369427,0116889,05,Santa Clara,East Side Union High,KIPP San Jose Collegiate,High,Active,8/11/2008 12:00:00 AM,,High,09,12,Y,0976,Directly funded,N,N,Y,N,ATSI,1790 Educational Park Dr.,San Jose,95133,CA,17,10,24,"11 - City, Large",37.369339999676,-121.859800000512,516,6,1.2,0,0,148,28.7,16,3.1,341,66.1,0,0,2,0.4,3,0.6,0,0,72,14,0,0,6,1.2,0,0,392,76,29,5.6,381,73.8,-13565370.8842272,4490713.82183617
